rnti,id,frame,slot,pci,timestamp,dlBytes,dlMcs,dlBler,ulBytes,ulMcs,ulBler,ri,pmi,phr,pcmax,rsrq,sinr,rsrp,rssi,cqi,pucchSnr,puschSnr
74c1,12345678,587,12,0,1691399415338,52581707,9,7e-06,1369382,9,0,2,"(0,0)",52,23,-10.5,23.5,-88,107.2,15,21,32.5
74c1,12345678,687,13,0,1691399416338,52586482,9,2e-06,1371500,9,0,2,"(0,0)",52,23,-10.5,23.5,-90,98.3,15,18,33
74c1,12345678,787,13,0,1691399417338,52591289,9,1e-06,1373586,9,0,2,"(0,1)",54,23,-10.5,23.5,-89,97.4,15,18,32
74c1,12345678,887,13,0,1691399418338,52596096,9,0,1375704,9,0,2,"(0,1)",56,23,-10.5,23.5,-90,89,15,22,28.5
74c1,12345678,987,13,0,1691399419338,52600903,9,0,1377597,9,0,2,"(0,0)",44,23,-10.5,23.5,-91,97.7,15,24,33
74c1,12345678,63,13,0,1691399420338,52605710,9,0,1379699,9,0,2,"(0,0)",52,23,-10.5,23.5,-87,98.3,15,21,44.5
74c1,12345678,163,13,0,1691399421338,52610517,9,0,1381801,9,0,2,"(0,1)",52,23,-10.5,23.5,-86,96,15,19,29
74c1,12345678,263,13,0,1691399422338,52615324,9,0,1383903,9,0,2,"(0,1)",50,23,-10.5,23.5,-89,101.6,15,18,47
74c1,12345678,363,13,0,1691399423338,52620131,9,0,1386005,9,0,2,"(0,0)",48,23,-10.5,23.5,-91,105.4,15,30,37.5
74c1,12345678,463,13,0,1691399424338,52624501,9,0,1388061,9,0,2,"(0,1)",52,23,-10.5,23.5,-91,86,15,15,28.5
74c1,12345678,563,13,0,1691399425338,52629276,9,0,1389924,9,0,2,"(0,0)",48,23,-10.5,23.5,-91,100.4,15,27,34
74c1,12345678,663,13,0,1691399426338,52634083,9,0,1392010,9,0,2,"(0,0)",58,23,-10.5,23.5,-93,97.4,15,16,32.5
74c1,12345678,763,13,0,1691399427338,52638890,9,0,1394128,9,0,2,"(0,0)",54,23,-10.5,23.5,-89,93.7,15,19,31.5
74c1,12345678,863,13,0,1691399428338,52643697,9,0,1396214,9,0,2,"(0,0)",56,23,-10.5,23.5,-92,99,15,18,30.5
74c1,12345678,963,13,0,1691399429338,52648504,9,0,1398332,9,0,2,"(0,1)",54,23,-10.5,23.5,-90,96.4,15,24,34
74c1,12345678,39,13,0,1691399430338,52653311,9,0,1400225,9,0,2,"(0,1)",52,23,-10.5,23.5,-91,93.7,15,23,32.5
74c1,12345678,139,13,0,1691399431338,52658118,9,0,1402327,9,0,2,"(0,1)",58,22,-10.5,23.5,-94,101,15,19,33.5
74c1,12345678,239,13,0,1691399432338,52662925,9,0,1404429,9,0,2,"(0,1)",58,22,-10.5,23.5,-90,86,15,10,21.5
74c1,12345678,339,13,0,1691399433338,52667700,9,0,1406531,9,0,2,"(0,0)",52,22,-10.5,23.5,-89,96.4,15,14,30.5
74c1,12345678,439,13,0,1691399434338,52672507,9,0,1408633,9,0,2,"(0,0)",50,22,-10.5,23.5,-97,85.9,15,18,30
74c1,12345678,539,13,0,1691399435338,52677314,9,0,1410542,9,0,2,"(0,0)",50,22,-10.5,23.5,-95,97.1,15,29,36.5
74c1,12345678,639,13,0,1691399436338,52682121,9,0,1412628,9,0,2,"(0,0)",54,22,-10.5,23.5,-101,101,14,13,33.5
74c1,12345678,739,13,0,1691399437338,52686928,9,0,1414746,9,0,2,"(0,0)",40,23,-10.5,23.5,-99,92,15,29,40
74c1,12345678,839,13,0,1691399438338,52691735,9,0,1416832,9,0,2,"(0,0)",52,22,-10.5,23.5,-92,105.4,15,20,31.5
74c1,12345678,939,13,0,1691399439338,52696542,9,0,1418950,9,0,2,"(0,0)",56,22,-10.5,23.5,-99,90.7,15,21,27
74c1,12345678,15,13,0,1691399440338,52701349,9,0,1420843,9,0,2,"(0,0)",48,22,-10.5,23.5,-90,101.6,15,24,36
74c1,12345678,115,13,0,1691399441338,52706124,9,0,1422945,9,0,2,"(0,0)",34,22,-10.5,23.5,-94,99.4,14,23,30.5
74c1,12345678,215,13,0,1691399442338,52840343,16,0.006667,1512319,13,0,2,"(0,0)",39,22,-11,17,-106,90.7,14,20,30
74c1,12345678,315,13,0,1691399443338,53100145,21,0.014978,1558830,14,0,2,"(0,0)",40,22,-10.5,20,-105,86,12,18,23.5
74c1,12345678,415,13,0,1691399444338,53181289,22,0.018037,1583688,16,0,2,"(0,0)",50,22,-10.5,22.5,-103,95.5,14,22,32.5
74c1,12345678,515,13,0,1691399445338,53261529,18,0.006289,1591607,13,0,2,"(0,0)",52,22,-10.5,23.5,-100,90.7,15,24,30.5
74c1,12345678,615,13,0,1691399446338,53300617,16,0.002193,1600856,11,0,2,"(0,0)",56,22,-10.5,23.5,-83,103.5,15,27,38
74c1,12345678,715,14,0,1691399447338,53330923,12,0.000765,1607245,9,0,2,"(0,1)",58,22,-10.5,23.5,-83,99.9,15,24,28
74c1,12345678,815,13,0,1691399448338,53344848,9,0.000267,1612003,9,0,2,"(0,1)",64,22,-10.5,23.5,-90,93.7,15,24,31
74c1,12345678,915,14,0,1691399449338,56574676,18,9.3e-05,1669952,15,0,2,"(0,0)",58,22,-10.5,23.5,-85,90.7,15,22,29.5
74c1,12345678,1015,14,0,1691399450338,63121844,27,0.006093,1754691,17,0,2,"(0,0)",59,22,-10.5,23.5,-83,96,15,19,32
74c1,12345678,91,14,0,1691399451338,69718534,27,0.086109,1956020,18,0,2,"(0,0)",66,22,-10.5,23.5,-90,96.7,15,21,32.5
74c1,12345678,191,14,0,1691399452338,77093591,26,0.125003,2044590,22,0,2,"(0,0)",64,22,-10.5,23.5,-92,97.7,15,17,31.5
74c1,12345678,291,14,0,1691399453338,83576053,27,0.058737,2116489,24,0.010714,2,"(0,1)",60,22,-10.5,23.5,-85,97.4,15,21,33
74c1,12345678,391,13,0,1691399454338,90805136,27,0.122862,2196406,27,0.147652,2,"(0,0)",58,23,-10.5,23.5,-90,86,15,22,29
74c1,12345678,491,14,0,1691399455338,97983866,26,0.123853,2322764,23,0.107714,2,"(0,0)",58,23,-10.5,23.5,-88,86,15,19,25
74c1,12345678,591,14,0,1691399456338,104956337,26,0.112894,2464526,22,0.052637,2,"(0,1)",61,22,-10.5,23.5,-91,97.4,15,14,31.5
74c1,12345678,691,14,0,1691399457338,111402899,27,0.073631,2619588,24,0.049035,2,"(0,1)",58,23,-10.5,23.5,-88,95.5,15,22,30
74c1,12345678,791,14,0,1691399458338,118102677,27,0.107412,2859250,23,0.141352,2,"(0,1)",58,23,-10.5,23.5,-88,94.4,15,20,33
74c1,12345678,891,14,0,1691399459338,124821721,27,0.146473,3042729,23,0.076303,2,"(0,0)",65,22,-10.5,23.5,-88,96,15,21,35.5
74c1,12345678,991,14,0,1691399460338,131793757,26,0.087036,3191081,24,0.029561,2,"(0,0)",63,22,-10.5,23.5,-92,101,15,23,35.5
74c1,12345678,67,13,0,1691399461338,139094121,27,0.04677,3398764,25,0.124565,2,"(0,0)",54,22,-10.5,23.5,-98,92,15,20,37.5
74c1,12345678,167,14,0,1691399462338,145905886,27,0.113748,3702935,25,0.077225,2,"(0,0)",54,23,-10.5,23.5,-92,96,15,22,32
74c1,12345678,267,14,0,1691399463338,152343545,27,0.138665,3890340,25,0.046296,2,"(0,0)",57,22,-10.5,23.5,-91,80.8,15,22,29.5
